sample_idx,latency_ms
0,1.5203
1,0.4159
2,0.6094
3,0.3762
4,0.3703
5,0.3754
6,0.6410
7,0.5684
8,0.4105
9,0.4279
10,0.4306
11,0.5840
12,0.7010
13,0.6300
14,0.5941
15,0.5816
16,0.4076
17,0.5855
18,0.4362
19,0.4267
20,0.6308
21,0.4007
22,0.5209
23,0.4094
24,0.4800
25,0.5957
26,0.3914
27,0.7062
28,0.5795
29,0.6344
30,0.5759
31,0.5783
32,0.5773
33,0.5890
34,0.3776
35,0.6517
36,0.5240
37,0.4243
38,0.4115
39,0.4309
40,0.4609
41,0.4173
42,0.4070
43,0.4261
44,0.4954
45,0.4633
46,0.4782
47,0.5723
48,0.4052
49,0.4091
50,0.4063
51,0.4285
52,0.4459
53,0.4113
54,0.4045
55,0.4914
56,0.4203
57,0.4969
58,0.4562
59,0.3972
60,0.4472
61,0.6324
62,0.6336
63,0.6762
64,0.4096
65,0.5791
66,0.3740
67,0.3968
68,0.4236
69,0.4424
70,0.4256
71,0.4187
72,0.4325
73,0.4757
74,0.4224
75,0.3857
76,0.4199
77,0.4086
78,0.4239
79,0.4497
80,0.4114
81,0.5884
82,0.6124
83,0.5907
84,0.3921
85,0.5730
86,0.4380
87,0.5909
88,0.4311
89,0.6321
90,0.5762
91,0.4070
92,0.5893
93,0.3961
94,0.6256
95,0.4527
96,0.4033
97,0.5601
98,0.6138
99,0.6715
100,0.3884
101,0.3890
102,0.3871
103,0.3784
104,0.3842
105,0.3686
106,0.3791
107,0.3812
108,0.3921
109,0.4241
110,0.3884
111,0.3862
112,0.4294
113,0.6207
114,0.4293
115,0.4375
116,0.4436
117,0.4499
118,0.3687
119,0.5226
120,0.4214
121,0.5821
122,0.6818
123,0.4728
124,0.4185
125,0.4978
126,0.5999
127,0.3992
128,0.5833
129,0.4007
130,0.5713
131,0.3958
132,0.4051
133,0.6289
134,0.6485
135,0.6251
136,0.6142
137,0.4207
138,0.5926
139,0.6126
140,0.5693
141,0.4560
142,0.5832
143,0.4215
144,0.4398
145,0.4462
146,0.5811
147,0.4139
148,0.5850
149,0.5897
150,0.4441
151,0.4252
152,0.4193
153,0.4202
154,0.4359
155,0.5202
156,0.4495
157,0.4590
158,0.4308
159,0.4797
160,0.5955
161,0.6205
162,0.5910
163,0.5897
164,0.5990
165,0.5955
166,0.5901
167,0.4300
168,0.5701
169,0.5583
170,0.5503
171,0.5830
172,0.5607
173,0.4142
174,0.5939
175,0.4193
176,0.3753
177,0.3826
178,0.4193
179,0.4042
180,0.5129
181,0.4378
182,0.3762
183,0.4998
184,0.4217
185,0.4259
186,0.4927
187,0.4258
188,0.4832
189,0.4445
190,0.4809
191,0.4939
192,0.5887
193,0.5490
194,0.9635
195,0.6433
196,0.6738
197,0.6617
198,0.7533
199,0.6254
200,0.7221
201,0.4546
202,0.4606
203,0.4114
204,0.4029
205,0.4024
206,0.3874
207,0.4968
208,0.4021
209,0.3934
210,0.3969
211,0.3952
212,0.4336
213,0.4769
214,0.6377
215,0.6657
216,0.6686
217,0.6595
218,0.6558
219,0.4992
220,0.6283
221,0.4720
222,0.4538
223,0.4311
224,0.8266
225,0.7837
226,1.2458
227,0.7463
