sample_idx,latency_ms
0,1.6372
1,0.5304
2,0.4827
3,0.4295
4,0.4236
5,0.4376
6,0.4452
7,0.4339
8,0.5678
9,0.4600
10,0.4400
11,0.5701
12,0.4795
13,0.4489
14,0.4515
15,0.4290
16,0.4472
17,0.4358
18,0.4310
19,1.1359
20,0.4572
21,0.4650
22,0.5180
23,0.5206
24,0.4687
25,0.4751
26,0.4473
27,0.4474
28,0.4588
29,0.4370
30,0.4766
31,0.4735
32,0.4727
33,0.4907
34,0.4748
35,0.4615
36,0.4618
37,0.4430
38,0.4423
39,0.5024
40,0.5211
41,0.5212
42,0.4889
43,0.4710
44,0.6740
45,0.4730
46,0.4387
47,0.4372
48,0.4482
49,0.7558
50,0.6114
51,0.4246
52,0.7314
53,0.8896
54,0.5810
55,0.8592
56,0.6878
57,0.5686
58,0.6865
59,0.6609
60,0.6659
61,0.5251
62,0.4748
63,0.6607
64,0.6721
65,0.4567
66,0.5195
67,0.4340
68,0.4508
69,0.4709
70,0.4014
71,0.4744
72,0.4613
73,0.6530
74,0.4421
75,0.4094
76,0.4582
77,0.4532
78,0.4499
79,0.4526
80,0.4505
81,0.3877
82,0.7135
83,0.4640
84,0.4145
85,0.4779
86,0.7112
87,0.6366
88,0.6576
89,0.7085
90,0.4538
91,0.4302
92,0.5766
93,0.6071
94,0.4979
95,0.4223
96,0.7472
97,0.6627
98,0.4870
99,0.4886
100,0.4365
101,0.4373
102,0.4974
103,0.4425
104,0.4519
105,0.4083
106,0.4574
107,0.4365
108,0.4757
109,0.4481
110,0.4449
111,0.4496
112,0.4862
113,0.6717
114,0.5446
115,0.5067
116,0.4631
117,0.4599
118,0.4710
119,0.4663
120,0.5311
121,0.4991
122,0.4951
123,0.6581
124,0.9481
125,0.5663
126,0.4949
127,0.4736
128,0.5001
129,0.4252
130,0.4239
131,0.4176
132,0.4034
133,0.3991
134,0.4161
135,0.4986
136,0.5234
137,0.4747
138,0.4577
139,0.4566
140,0.4469
141,0.4491
142,0.4624
143,0.4887
144,0.5176
145,0.4973
146,0.6308
147,0.6452
148,0.4851
149,0.4809
150,0.4439
151,0.4544
152,0.4562
153,0.4611
154,0.4571
155,0.4573
156,0.4348
157,0.6904
158,0.4688
159,0.4549
160,0.4462
161,0.4798
162,0.4478
163,0.4286
164,0.4672
165,0.4481
166,0.4726
167,0.5599
168,0.4556
169,0.4681
170,0.4955
171,0.4580
172,0.4411
173,0.4477
174,0.4362
175,0.4858
176,0.5007
177,0.5170
178,0.9272
179,0.7872
