label,origin,source_word,count
up,public,up,3723
down,public,down,3917
left,public,left,3801
right,public,right,3778
stop,public,stop,3872
one,public,one,3890
two,public,two,3880
three,public,three,3727
four,public,four,3728
five,public,five,4052
six,public,six,3860
unknown,public,yes,220
unknown,public,no,220
unknown,public,on,220
unknown,public,off,220
unknown,public,go,220
unknown,public,zero,220
unknown,public,seven,220
unknown,public,eight,220
unknown,public,nine,220
unknown,public,bed,220
unknown,public,bird,220
unknown,public,cat,220
unknown,public,dog,220
unknown,public,happy,220
unknown,public,house,220
unknown,public,marvin,220
unknown,public,sheila,220
unknown,public,tree,220
unknown,public,wow,220
