sample_idx,latency_ms
0,4.8640
1,0.6434
2,0.4708
3,0.4442
4,0.4366
5,0.4317
6,0.4195
7,0.4349
8,0.4330
9,0.4290
10,0.5950
11,0.5788
12,0.5739
13,0.5791
14,0.5802
15,0.5605
16,0.5786
17,0.3992
18,0.4161
19,0.4022
20,0.3918
21,0.3740
22,0.3839
23,0.3768
24,0.3856
25,0.3779
26,0.3777
27,0.6270
28,0.4567
29,0.4030
30,0.3949
31,0.3861
32,0.3862
33,0.3854
34,0.3845
35,0.4033
36,0.3931
37,0.3765
38,0.5649
39,0.4098
40,0.4025
41,0.4124
42,0.4032
43,0.4019
44,0.4250
45,0.3980
46,0.4237
47,0.4041
48,0.4037
49,0.4278
50,0.4279
51,0.5262
52,0.5039
53,0.5146
54,0.5134
55,0.8449
56,0.4693
57,0.7350
58,0.7141
59,0.8304
60,0.4842
61,0.5052
62,0.7284
63,0.7639
64,0.4782
65,0.4568
66,0.4387
67,0.4244
68,0.5310
69,0.5074
70,0.6941
71,0.6908
72,0.6829
73,0.6610
74,0.4504
75,0.6122
76,0.4497
77,0.4490
78,0.3969
79,0.4558
80,0.4277
81,0.5091
82,0.6338
83,0.4776
84,0.3780
85,0.6294
86,0.5673
87,0.3934
88,0.6183
89,0.4116
90,0.4130
91,0.4143
92,0.4193
93,0.4101
94,0.4151
95,0.4448
96,0.3986
97,0.3869
98,0.3906
99,0.4318
100,0.6132
101,0.6357
102,0.4328
103,0.4453
104,0.7025
105,0.6336
106,0.4482
107,0.4845
108,0.6271
109,0.4177
110,0.4333
111,0.4455
112,0.4284
113,0.4438
114,0.4485
115,0.4295
116,0.4479
117,0.5863
118,0.7446
119,0.4489
120,0.4434
121,0.3940
122,0.6081
123,0.3925
124,0.5989
125,0.3794
126,0.5910
127,0.4318
128,0.6549
129,0.6028
130,0.5932
131,0.5973
132,0.6094
133,0.4218
134,0.5857
135,0.4362
136,0.6033
137,0.6257
138,0.6105
139,0.6345
140,0.6048
141,0.6049
142,0.6197
143,0.5773
144,0.6032
145,0.4301
146,0.4009
147,0.3905
148,0.5711
149,0.5673
150,0.5690
151,0.5734
152,0.6183
153,0.5548
154,0.6224
155,0.4363
156,0.7029
157,0.5708
158,0.5778
159,0.5777
160,0.5691
161,0.5668
162,0.6213
163,0.4433
164,0.5922
165,0.4148
166,0.4232
167,0.4276
168,0.4755
169,0.5761
170,0.6023
171,0.6010
172,0.4622
173,0.4872
174,0.4288
175,0.4239
176,0.4189
177,0.4253
178,0.3841
179,0.6186
180,0.5602
181,0.6260
182,0.5923
183,0.4716
184,0.5888
185,0.5721
186,0.5787
187,0.5787
188,0.5748
189,0.6031
190,0.5742
191,0.5735
192,0.3895
193,0.4692
194,0.4279
195,0.4185
196,0.4377
197,0.4745
198,0.4549
199,0.4498
200,0.4757
201,0.6679
202,0.6054
203,0.4237
204,0.6708
205,0.6254
206,0.5908
207,0.6081
208,0.6274
209,0.6061
210,0.6773
211,0.4025
212,0.5168
213,0.4391
214,0.4346
215,0.4700
216,0.4870
217,0.4379
218,0.5255
219,0.5974
220,0.6315
221,0.6418
222,0.6259
223,0.5900
224,0.5941
225,0.4183
226,0.6210
227,0.6127
228,0.4118
229,0.4126
230,0.3863
231,0.6058
232,0.5993
233,0.5964
234,0.6032
235,0.5925
236,0.5868
237,0.5942
238,0.5756
239,0.4153
240,0.4006
241,0.3928
242,0.4386
243,0.4021
244,0.3995
245,0.4055
246,0.4463
247,0.4513
248,0.4224
249,0.4272
250,0.3709
251,0.4098
252,0.4007
253,0.4112
